goal,shot_statsbomb_xg,minute,x_m,y_m,distance_to_goal,angle_to_goal,angle_to_goal_deg,distance_to_goal_sq,log_distance,is_first_half,is_extra_time,distance_x_angle,play_pattern_encoded,shot_body_part_LeftFoot,shot_body_part_OtherBodyPart,shot_body_part_RightFoot,shot_type_OpenPlay,shot_type_Penalty,shot_type_SetPiece,zone_wide_right,distance_bucket_10-20,distance_bucket_20-30,distance_bucket_30-40,distance_bucket_40+,angle_bucket_nan,shot_type_FromCorner
0,0.18444449,75,101.58749999999999,29.814070351758794,5.400663225014573,1.0076221081337762,57.732494140140034,29.16716327002481,1.8564016139050488,0,0,5.441827664109742,2,True,False,False,True,False,False,True,False,False,False,False,False,False
0,0.03049218,82,88.46249999999999,20.844221105527637,21.132047335037008,0.272510931226448,15.613726230455304,446.5634245702447,3.0970266637936072,0,0,5.758713897992314,3,False,False,True,True,False,False,False,False,True,False,False,False,False
0,0.08926629,84,87.41250000000001,38.61306532663317,18.182423599668578,0.38554708063888965,22.090220524198394,330.60052795778483,2.9539944222476544,0,0,7.010180337791871,2,False,False,True,False,False,False,False,True,False,False,False,False,False
0,0.23580356,84,100.625,27.507537688442216,7.828964929478113,0.5893543623357544,33.767517599462614,61.29269186699824,2.178037785715171,0,0,4.614034633761558,2,False,False,True,True,False,False,True,False,False,False,False,False,False
1,0.020677071,87,86.3625,46.301507537688444,22.331222401601885,0.27405149721301925,15.701994159547246,498.68349394980584,3.149792480785951,0,0,6.119904933755912,2,False,False,True,True,False,False,False,False,True,False,False,False,False
0,0.17265096,89,99.05,38.527638190954775,7.476764513356848,0.7975703190155436,45.69741314449332,55.90200758819226,2.1373288337614507,0,0,5.963245458122117,3,False,False,False,True,False,False,True,False,False,False,False,False,False
0,0.056751974,93,90.125,43.90954773869347,17.873577184924255,0.34179069980682786,19.583164575754118,319.46476138544483,2.937762911362638,0,1,6.109022454086613,3,False,False,True,True,False,False,True,True,False,False,False,False,False
0,0.020250158,94,84.52499999999999,19.90452261306533,24.857757496716935,0.24302981435923038,13.924582658631792,617.908107765587,3.2526106525192593,0,1,6.041176189813884,3,False,False,True,True,False,False,False,False,True,False,False,False,False
0,0.058660276,97,96.60000000000001,31.180904522613066,8.8604344876887,0.7567826912172986,43.3604542153034,78.50729931062331,2.2885302333321893,0,1,6.705423456947621,3,False,False,True,True,False,False,True,False,False,False,False,False,False
0,0.11749809,101,102.55,29.55778894472362,5.073040415728984,0.9681109898766425,55.46867382016398,25.735739059619707,1.8038593718791303,0,1,4.911266178555601,2,False,False,False,True,False,False,True,False,False,False,False,False,False
0,0.1594714,109,91.35000000000001,38.015075376884425,14.228258160508032,0.4862127446494144,27.857938213883443,202.4433302820634,2.723152791391262,0,1,6.917960451801038,3,False,False,True,True,False,False,True,True,False,False,False,False,False
0,0.05171078,114,94.41250000000001,22.381909547738694,15.718625321793416,0.32023736015014426,18.3482491790142,247.0751820069252,2.8165233866804162,0,1,5.033691078240335,3,False,False,True,True,False,False,True,True,False,False,False,False,False
0,0.0055441223,114,80.41250000000001,13.582914572864322,31.959388817512696,0.17668891835482192,10.123529308462881,1021.4025335889556,3.495276161711356,0,1,5.64686984144751,3,False,False,True,True,False,False,False,False,False,True,False,False,False
0,0.005248928,117,70.78750000000001,43.05527638190955,35.39058047846585,0.1994247331065567,11.426195537528562,1252.4931866027682,3.5943099630897493,0,1,7.057757066404168,3,False,False,True,True,False,False,False,False,False,True,False,False,False
0,0.7835,120,94.58749999999999,34.25628140703518,10.41565343171479,0.6756848440534882,38.71388984522007,108.4858364095921,2.4349855215948315,0,1,7.037699164723387,3,False,False,True,False,True,False,True,True,False,False,False,False,False
1,0.7835,121,94.58749999999999,34.25628140703518,10.41565343171479,0.6756848440534882,38.71388984522007,108.4858364095921,2.4349855215948315,0,1,7.037699164723387,3,False,False,True,False,True,False,True,True,False,False,False,False,False
0,0.7835,124,94.58749999999999,34.25628140703518,10.41565343171479,0.6756848440534882,38.71388984522007,108.4858364095921,2.4349855215948315,0,1,7.037699164723387,3,False,False,True,False,True,False,True,True,False,False,False,False,False
0,0.7835,124,94.58749999999999,34.25628140703518,10.41565343171479,0.6756848440534882,38.71388984522007,108.4858364095921,2.4349855215948315,0,1,7.037699164723387,3,False,False,True,False,True,False,True,True,False,False,False,False,False
1,0.7835,125,94.58749999999999,34.25628140703518,10.41565343171479,0.6756848440534882,38.71388984522007,108.4858364095921,2.4349855215948315,0,1,7.037699164723387,3,False,False,True,False,True,False,True,True,False,False,False,False,False
1,0.7835,126,94.58749999999999,34.25628140703518,10.41565343171479,0.6756848440534882,38.71388984522007,108.4858364095921,2.4349855215948315,0,1,7.037699164723387,3,False,False,True,False,True,False,True,True,False,False,False,False,False
0,0.7835,128,94.58749999999999,34.25628140703518,10.41565343171479,0.6756848440534882,38.71388984522007,108.4858364095921,2.4349855215948315,0,1,7.037699164723387,3,False,False,True,False,True,False,True,True,False,False,False,False,False
1,0.7835,128,94.58749999999999,34.25628140703518,10.41565343171479,0.6756848440534882,38.71388984522007,108.4858364095921,2.4349855215948315,0,1,7.037699164723387,3,True,False,False,False,True,False,True,True,False,False,False,False,False
0,0.48585358,1,91.78750000000001,40.91959798994975,14.914791067678971,0.4333080581192621,24.826722959243103,222.45099259251643,2.7672489326352516,1,0,6.46269915479049,3,False,False,True,True,False,False,True,True,False,False,False,False,False
0,0.027996033,3,84.96249999999999,44.84924623115578,22.786126262141362,0.28223742460969675,16.17101325077738,519.2075500342482,3.1691024805454573,1,0,6.431097593058154,3,False,False,True,True,False,False,False,False,True,False,False,False,False
