goal,shot_statsbomb_xg,minute,second,possession,play_pattern,possession_team,team,player,shot_body_part,shot_technique,shot_type,under_pressure,off_camera,shot_outcome,x,y,competition
0,0.30336502,49,52,117,4,0,0,12,2,1,1,,,3,113.2,42.5,Indian Super league 2021/2022
0,0.028559601,50,26,118,0,0,0,8,2,2,1,,,0,98.2,25.1,Indian Super league 2021/2022
0,0.013583038,51,11,121,0,0,0,5,2,2,1,,,2,116.2,26.8,Indian Super league 2021/2022
0,0.012116619,54,27,124,5,1,1,1,1,1,1,,,2,111.5,23.0,Indian Super league 2021/2022
0,0.013923449,56,35,130,4,1,1,0,1,2,1,,,3,88.7,28.3,Indian Super league 2021/2022
0,0.12187965,60,1,141,2,0,0,8,2,2,0,,,0,101.7,43.0,Indian Super league 2021/2022
0,0.06845615,60,3,141,2,0,0,8,2,1,1,,,0,102.2,45.0,Indian Super league 2021/2022
0,0.033253163,62,52,146,0,0,0,3,0,2,1,True,,0,112.7,31.2,Indian Super league 2021/2022
0,0.036503147,63,26,146,0,0,0,11,0,2,1,True,,3,113.6,30.0,Indian Super league 2021/2022
0,0.05943999,66,3,151,4,0,0,5,2,2,1,,,0,106.3,26.8,Indian Super league 2021/2022
0,0.02091567,66,6,151,4,0,0,3,1,2,1,,,0,88.6,36.4,Indian Super league 2021/2022
0,0.022091275,69,28,158,4,1,1,9,1,2,1,,,0,88.6,49.2,Indian Super league 2021/2022
0,0.016799387,69,48,159,5,0,0,7,1,2,1,True,,2,101.4,58.4,Indian Super league 2021/2022
0,0.03970441,70,50,162,5,1,1,4,2,2,1,,,0,96.2,36.1,Indian Super league 2021/2022
0,0.016141335,72,11,164,1,0,0,12,2,2,1,,,0,114.8,53.7,Indian Super league 2021/2022
0,0.12359015,72,37,165,0,0,0,6,2,2,1,,,0,109.4,41.3,Indian Super league 2021/2022
0,0.037036426,73,33,168,2,0,0,7,2,2,1,,,0,95.0,41.4,Indian Super league 2021/2022
1,0.34547636,78,37,176,1,0,0,12,2,3,1,,,1,114.2,43.2,Indian Super league 2021/2022
0,0.027136607,82,1,182,5,0,0,10,2,1,1,,,0,97.1,51.3,Indian Super league 2021/2022
0,0.01177569,82,45,184,4,0,0,14,1,2,1,True,,0,92.5,51.2,Indian Super league 2021/2022
0,0.02951979,85,16,188,5,0,0,8,1,2,1,True,,2,109.9,24.8,Indian Super league 2021/2022
0,0.044764433,86,2,189,3,1,1,13,2,3,1,,,0,103.8,49.1,Indian Super league 2021/2022
0,0.10458498,90,21,196,5,0,0,6,2,0,1,,,0,113.1,45.8,Indian Super league 2021/2022
0,0.0042379773,0,1,2,3,0,0,4,2,1,1,,,2,60.3,40.9,Indian Super league 2021/2022
0,0.009659232,2,23,9,5,0,0,8,2,1,1,,,0,112.1,22.2,Indian Super league 2021/2022
0,0.21061859,13,7,33,5,0,0,6,2,1,1,,,4,110.9,52.3,Indian Super league 2021/2022
1,0.6610736,17,4,41,5,0,0,11,1,2,1,,,1,115.7,41.0,Indian Super league 2021/2022
0,0.007492812,26,29,56,2,1,1,5,2,1,0,,,0,114.4,15.7,Indian Super league 2021/2022
0,0.016769262,26,42,56,2,1,1,0,2,0,1,,,2,95.7,27.3,Indian Super league 2021/2022
0,0.071368806,37,39,67,2,1,1,5,2,1,0,,,0,100.8,51.8,Indian Super league 2021/2022
0,0.03721469,42,25,74,2,0,0,8,2,1,1,,,0,99.5,29.2,Indian Super league 2021/2022
0,0.04216473,46,34,81,4,1,1,9,1,1,1,,,0,107.0,56.5,Indian Super league 2021/2022
0,0.1720066,47,5,82,0,1,1,1,2,0,1,,,0,113.8,36.3,Indian Super league 2021/2022
1,0.19154745,47,9,82,0,1,1,2,0,1,1,,,1,114.1,37.9,Indian Super league 2021/2022
0,0.010948123,50,11,97,0,0,0,8,2,1,1,,,0,108.6,21.7,Indian Super league 2021/2022
1,0.12020791,57,23,113,1,1,1,9,1,1,1,,,1,100.7,47.7,Indian Super league 2021/2022
1,0.17641221,63,16,117,0,1,1,5,0,1,1,True,,1,113.6,39.2,Indian Super league 2021/2022
0,0.05857733,68,10,123,4,1,1,2,2,0,1,,,2,99.7,43.3,Indian Super league 2021/2022
